country,prevalencePer10K,Country Name,Country Code,Series Name,Series Code,2020 Country Population
Kazakhstan,80.7,Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18755666
Croatia,80.6,Croatia,HRV,"Population, total",SP.POP.TOTL,4047680
Guam,80.5,Guam,GUM,"Population, total",SP.POP.TOTL,168783
Vietnam,80.5,Vietnam,VNM,"Population, total",SP.POP.TOTL,97338583
Moldova,80.3,Moldova,MDA,"Population, total",SP.POP.TOTL,2620495
Kiribati,80.1,Kiribati,KIR,"Population, total",SP.POP.TOTL,119446
Cambodia,80.1,Cambodia,KHM,"Population, total",SP.POP.TOTL,16718971
Bulgaria,80,Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Romania,80,Romania,ROU,"Population, total",SP.POP.TOTL,19257520
Hungary,79.9,Hungary,HUN,"Population, total",SP.POP.TOTL,9750149
Mauritius,79.8,Mauritius,MUS,"Population, total",SP.POP.TOTL,1265740
United States Virgin Islands,79.7,Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106290
China,79.7,China,CHN,"Population, total",SP.POP.TOTL,1411100000
Myanmar,79.3,Myanmar,MMR,"Population, total",SP.POP.TOTL,54409794
Georgia,78.9,Georgia,GEO,"Population, total",SP.POP.TOTL,3722716
Sri Lanka,78.7,Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000
Armenia,78.2,Armenia,ARM,"Population, total",SP.POP.TOTL,2963234
United Kingdom,78.1,United Kingdom,GBR,"Population, total",SP.POP.TOTL,67081000
Thailand,78.1,Thailand,THA,"Population, total",SP.POP.TOTL,69799978
Ireland,77.8,Ireland,IRL,"Population, total",SP.POP.TOTL,4985674
Belarus,77.7,Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Estonia,77.6,Estonia,EST,"Population, total",SP.POP.TOTL,1329479
Taiwan,77.2,"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,649342
Russia,77.1,Russian Federation,RUS,"Population, total",SP.POP.TOTL,144073139
Ukraine,77,Ukraine,UKR,"Population, total",SP.POP.TOTL,44132049
Lithuania,76.9,Lithuania,LTU,"Population, total",SP.POP.TOTL,2794885
North Korea,76.4,"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51836239
Latvia,76.3,Latvia,LVA,"Population, total",SP.POP.TOTL,1900449
Israel,75.1,Greece,GRC,"Population, total",SP.POP.TOTL,10700556
Luxembourg,74.6,Luxembourg,LUX,"Population, total",SP.POP.TOTL,630419
Malta,74.3,Malta,MLT,"Population, total",SP.POP.TOTL,515332
Andorra,74.1,Andorra,AND,"Population, total",SP.POP.TOTL,77265
Cyprus,73.9,Cyprus,CYP,"Population, total",SP.POP.TOTL,1207361
Denmark,73.8,Denmark,DNK,"Population, total",SP.POP.TOTL,5831404
Switzerland,73.8,Switzerland,CHE,"Population, total",SP.POP.TOTL,8636561
Netherlands,73.8,Netherlands,NLD,"Population, total",SP.POP.TOTL,17441500
Finland,73.2,Finland,FIN,"Population, total",SP.POP.TOTL,5529543
Belgium,73,Belgium,BEL,"Population, total",SP.POP.TOTL,11544241
Spain,73,Spain,ESP,"Population, total",SP.POP.TOTL,47363419
Austria,72.6,Austria,AUT,"Population, total",SP.POP.TOTL,8916864
Greece,72.4,"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7481000
Germany,72.2,Germany,DEU,"Population, total",SP.POP.TOTL,83160871
Norway,72,Norway,NOR,"Population, total",SP.POP.TOTL,5379475
Italy,72,Italy,ITA,"Population, total",SP.POP.TOTL,59449527
Iceland,71.9,Iceland,ISL,"Population, total",SP.POP.TOTL,366463
Portugal,70.5,Portugal,PRT,"Population, total",SP.POP.TOTL,10297081
France,69.3,France,FRA,"Population, total",SP.POP.TOTL,67379908
